EMOTION,SIT
sadness,I missed the last tram home and had to walk in the pouring rain.
disgust,I found some worms in the food and I had obviously eaten some.
shame,"My friend was so intoxicated that the police came and took him Ã¡ away, and they later contacted his parents."
guilt,I hapened to overhear something which I was not meant to hear.
joy,When I won a trip to Greece in a competition.
fear,When I am out in the dark and a suspicious looking character Ã¡ comes towards me.
anger,"At work, when an elderly man complained unjustifiably about me and Ã¡ distrusted me."
sadness,When I had not understood anything after a lecture.
disgust,When an alcoholic stood dribbling over a food counter.
shame,When my friend and I were discussing the good looks of a guy we Ã¡ realized that he had been listening.
guilt,When I complained about a colleague to the manager and he told Ã¡ her that someone had complained; this colleague came to me Ã¡ believing that I liked her.
joy,At a friend's birthday party with some of my closest friends.  It Ã¡ was all very pleasant and one could say that I was happy to have Ã¡ such good friends.
fear,On the way home one Friday night in the heavy rain the car Ã¡ acquaplanned.  I lost contact with the road surface for a few Ã¡ seconds.
anger,Mad at my dad.
sadness,A case of unrequited love.
disgust,A bad smelling cucumber.
shame,Nearly caught masturbating.
guilt,I do not help out enough at home.
joy,I felt very happy when I won the football pools.
fear,When I flew from Athens to Copenhagen after a holiday.  The plane Ã¡ was caught in a storm and it began to shake and I thouhght that Ã¡ we were going to crash.
anger,When someone stole my bike.
sadness,"When I saw the list of books to read for an acccouting course, I Ã¡ thought \ Oh God how will I ever manaage it!\"""""
disgust,It was when I read a newspaper article on the future and they Ã¡ foresaw that we would be eating frog-burgers by the year 2000.  Ã¡ An illustration showed a frog between two pieces of bread.
shame,When I dropped a bottle in the state liquor store and everyboby Ã¡ started laughing.
guilt,"When I was young - 14, I pinched from a store and was caught.  Ã¡ The store then contacted my parents."
joy,When the whole family gets together for a one week holiday.  Ã¡ Everybody feels free and the trip is well planned.  It works out Ã¡ well and we enjoy ourselves.
fear,"When I could not find my 2 year old daughter.  I ran and looked Ã¡ for her everywhere and could not find her.  (I finally found her, Ã¡ she had gone to bed to sleep)"
anger,When friends try to put me down or hurt me.  
sadness,Marriage crises.  Boredom.
disgust,When someone makes advances that one does not want.
shame,The discovery that one has only thought of oneself.
guilt,When I spanked a child in anger and later regretted it terribly.
joy,When I passed the first examination that I had to repeat.
fear,When I drove to Stockholm for the first time and drove off the Ã¡ Stora Hissingen road at the wrong exit.
anger,When my boyfriend went away for a month long holiday without me.
sadness,Last year when I worked during the Summer holidays and studied Ã¡ at the same time for an examination I had to repeat; my boyfriend Ã¡ went to Greece for a holiday for a month.
disgust,When a dog is left whining outside a shop.
shame,When I promised to help a friend over a weekend and did not keep Ã¡ the promise.
guilt,When I realized that I had three more examinations to take.
joy,The day I was told that I had been accepted as a student of Ã¡ economics.
fear,"While taking a short cut through the Vasa park, I was surrounded Ã¡ by three people who tried to steal my money.  I was scared and Ã¡ was saved only by the appearance of other people."
anger,"At a restaurant I observed how the gypsies tried to get money by Ã¡ cheating the foreigners i.e non Swedish speaking.  My anger had Ã¡ nothing to do with hatred against foreigners, but it was an Ã¡ expression of the anger I feel when I see people being used ."
sadness,At the begining of a new course one is afraid of encountering Ã¡ problems one can not manage.  Thoughts revolve around failing Ã¡ the subject and the consequences it would have for the future.
disgust,While walking in town I noticed how the police harrassed a man Ã¡ who was under the influence of alcohol.  They terrified him with Ã¡ the thought of arrest by driving close behind him on a pedestrian Ã¡ street.  My disgust was directed at the gestures and the facial Ã¡ expressions of the policemen; they seemed to be enjoying Ã¡ themselves.
shame,"When my boyfriend revealed that he knew that I had discovered Ã¡ things of an important nature about him, I felt ashamed as I had Ã¡ not mentioned it earlier."
guilt,"When I am dishonest to a friend to whom I am very close.  I Ã¡ feel guilty because I know that he gives a different version of Ã¡ the truth and I have not corrected these mistakes, and he is Ã¡ aware that I know that they are wrong."
joy,When I found out that I had passed the last two exams by a Ã¡ margin of three marks.
fear,When my father was ill and was waiting for the results of his tests.
anger,When I got caught in the pouring rain last Thursday and did not Ã¡ have a raincoat on me.
sadness,When I failed an exam.
disgust,"At a SmÃ·rgasbord table, a man mixed differnet kinds of picked Ã¡ herrings with fruit salad."
shame,"When I had not prepared my contribution to the group as Ã¡ thoroughly as the other members, with the result that the Ã¡ overall result was poor."
guilt,"When my father and I worked on the house just after he had Ã¡ recovered from illness, I was rather lazy.  This meant that he Ã¡ had to work hard and was not very well later."
joy,When I gave birth to my son and saw that he was alive and that I Ã¡ had managed it well.  He was born a month too early with a Ã¡ malfunctioning lung.  This happened a year ago.
fear,When I found out that my father had lung cancer and they did not Ã¡ know how long he would live.
anger,"When a colleague asked me for help at work, despite the fact Ã¡ that he had more time to do it than I had."
sadness,When I did not get the salary increase that I had been expecting Ã¡ and understood how little one's work was appreciated.
disgust,When I was weeding the garden I found a lizard in my hand.
shame,"When I met a friend whom I had not seen for a long time and Ã¡ heard all about her troubles, I thought that I should have got Ã¡ in touch with her earlier."
guilt,I got angry at my mother for something trivial.  We were in a Ã¡ bad mood because my father was very ill and I knew that my mother Ã¡ really needed support.  I had reacted wrongly.
joy,"New year's eve 1983/1984, I met my girlfriend.  We stood on the Ã¡ steps outside her parents home and I kissed her for the Ã¡ first time."
fear,"When I was stopped by plain clothes policemen because the car I Ã¡ was driving had overturned on the Avenue.  I had been driving too Ã¡ fast, and I was afraid when I was stopped, questionned and then Ã¡ toild to go.  The situation ended happily since there were no Ã¡ consequences."
anger,The editor changed the heading of an article that I had written.  Ã¡ He considered the heading to be derogatory towards the person I had written Ã¡ about.
sadness,"A close acquaintance of the family died of lung cancer.  Ã¡ Although it was expected, I still felt depressed."
disgust,"When I saw a picture, in the Gothenburg Post, of a totally Ã¡ demolished car with two fatally injured passengers.  The car was Ã¡ so badly damaged that they couldn't get the bodies out at the Ã¡ scene of the accident."
shame,One night I had a sexual intercourse with another man.  My sexual Ã¡ desire and my curiosity had made me jump into bed with him.  I am Ã¡ ashamed of myself now.
guilt,"Due to laziness, I failed the term studies completely at Ã¡ University.  I also wanted, to some extent, to protest against my Ã¡ parents' expectations."
joy,When I got the loan for my studies.
fear,I met intoxicated people with dubious intentions in a back alley Ã¡ one Wednesday night.
anger,On the T.V I saw a news feature on South Africa.  A policeman      Ã¡ attacked a group of black people with a whip.
sadness,The thought of having to read a boring book of 400 pages in Ã¡ English.
disgust,Grovelling people.
shame,My inability to assert myself positively in a group.
guilt,I experience feelings of guilt because I do not study enough.
disgust,"Observing someone in the cafeteria noisily gulping in his food, Ã¡ having extremely bad manners."
shame,I guess I have often been ashamed after having talked badly of Ã¡ other people.
guilt,Having been angry and unpleasant towards my parents.
joy,When my sister - after a history of one abortion and one Ã¡ stillbirth - gave birth to a perfectly healty boy.
fear,"When my sister had the still born child, she was emotionally very Ã¡ deep down, and it took her a long time to recover."
anger,"We were starting a student project, and the teacher we talked to Ã¡ was very negative and not very helpful."
sadness,"When my boyfriend openly let me down, preferring another girl."
disgust,"I felt some disgust for my boyfriend for a time, after he had Ã¡ left me."
shame,Can't think of any.
guilt,"Before an accident, my aunt offered me the front seat of the car, Ã¡ next to the driver. I declined, she took that seat and was killed Ã¡ there when the car crashed."
joy,"Unexpected visit by a close friend, whom I hadn't seen for half a Ã¡ year."
fear,"I wandered by mistake into the safety zone of a shooting range, Ã¡ and was shot at."
anger,Being treated unfairly.
sadness,Breaking up with a girl.
disgust,Nothing.
shame,None.
guilt,Little contact with my father before he died.
joy,"When I was accepted as a student at the college, not having Ã¡ thought it possible."
fear,"When I was the first to arrive at the scene after an accident, Ã¡ and found that a close school friend had been killed."
anger,"I was accused of having done something, which I hadn't and got Ã¡ very angry."
sadness,When my grandmother died.
disgust,Not applicable.
joy,"A couple of years ago during the summer holiday, I was fishing at Ã¡ a lake with my husband.  Suddenly it started raining while the Ã¡ sun was still shining. I experienced a feeling of joy, happiness Ã¡ and fulfillment.  the whole nature was full of music."
fear,"I was alone at home, in bed reading a womens' magazine in which Ã¡ there were storiees of paranormal experiences.  My leg was Ã¡ itching and I stretched my hand to scratch and I felt another Ã¡ strange hand. (later I realized that it was the corner of the Ã¡ blanket)"
anger,"I went to a lecture and once again it had been cancelled, this Ã¡ was the second time.  One had a negative attitude towards the Ã¡ lecturer.Ã¡ "
sadness,"I heard that a former superior of mine had died, I was later at Ã¡ home home reading about it in the newspaper and I thought of our Ã¡ interaction and how it was no longer possible.  The limited scope Ã¡ of human life is sad."
disgust,"In the tram there was a fat, sickly looking woman in front of me Ã¡ who was asking for directions in a thick voice.  When she got up to Ã¡ go a disgusting smell of urine came from her.  I felt that I Ã¡ would choke."
shame,"When we were at home, my husband and I, he made a remark about Ã¡ something I had done, in a perfectly friendly manner.  My deed Ã¡ had been unjust and I knew that my husband was right, therefore my Ã¡ sense of shame."
guilt,"I made a remark to my sister concerning her attitude to men, the Ã¡ way she talked and I compared her to an acquaintance of mine.  Ã¡ Later, the same evening, my sister looked sad.  I felt guilty Ã¡ about her sadness."
joy,"I had a summer job in Sweden, and my boyfriend came to meet me on Ã¡ my birthday."
fear,"I went to practice in Sweden during summer, and I was afraid that Ã¡ I would not do well."
anger,"In the holiday cottage of our association, two of my pals came to Ã¡ wake me up early one morning by bringing a radio played at the Ã¡ highest volume into my room - it was the morning service at its Ã¡ loudest."
sadness,My grandmother died suddenly last summer.
disgust,"My superior at the summer job swindled customers as much as he Ã¡ could, and once put me in a difficult situation after which I Ã¡ could not but detest him."
shame,Once I arrived two hours late to my work place (a bank) and I was Ã¡ still feeling feeble and tired.
guilt,Our association had Polish visitors and when they were going back Ã¡ by boat I did not go to see them off (I am the chairman of the Ã¡ association).
joy,"I was told quite unexpectedly that one wanted me to become the Ã¡ vice-chairman of our student organisation.  I was really Ã¡ surprised and joy was the first emotion I felt, though behind it Ã¡ there was worry - how shall I succeed ?"
fear,"Our tutorial group was soon to be divided, and we got a list of Ã¡ names of freshmen, out of which five were to be in my group.  We Ã¡ read the names and then each group went its own way to a seminar Ã¡ room.  I wondered how I would cope with the new situation and if Ã¡ I would succeed as a group leader."
anger,"We were in a disco and the evening was not at all pleasant.  Ã¡ Despite my not knowing why, I was angry with my companion.  I let Ã¡ him feel my bad humour as I cannot hide my feelings."
sadness,"My grandmother died, and my mother called me one sunday morning Ã¡ in the Autumn.  The way my mother told me about it, I hated her Ã¡ at that moment.  She sounded as if she had been waiting for the Ã¡ death of my grandmother.  I had lost a person close to me.  I Ã¡ felt guilty too as I had been bad to my grandmother of late.  I had not Ã¡ remained calm when she no longer understood everything so well."
disgust,"At the underground station, a drunkard came to speak to me.  He Ã¡ tried to ask me something but I did not answer so he began to Ã¡ speak about me with his companion.  I detested this dirty Ã¡ growling man."
shame,"I was worried by a task related to my studies which had to be Ã¡ done in groups of two.  I was talking about it to my friends when Ã¡ I said something negative, in too abrupt a manner, concerning my Ã¡ work partner.  I did not quite mean what I said and I felt Ã¡ ashamed at having been mean enough to criticize him as he is also Ã¡ a friend of mine."
guilt,I had told my boyfriend that I did not want to go on with our Ã¡ relationship.  I knew that I was important to him but I wanted to Ã¡ be free.  I saw that this was difficult for him but I remained Ã¡ firm and did not change my mind.
anger,"[ I sometimes quarrel with my mother because she blames me, Ã¡ though I have not in any way been connected to some events.]"
sadness,"After hearing about the death of my grandfather.  First I could Ã¡ not believe it, but later I wept and felt the situation was Ã¡ hopeless.  I felt lonely and wanted to be consolated."
disgust,"In the evening, while I was watching TV, my little brother came Ã¡ in and started eating food he had brought from the kitchen while Ã¡ I was trying to concentrate on the program."
shame,My little brother was arrested by the police at the railway station after Ã¡ he had drunk some beer.
guilt,"At my temporary job, I have to restrict  others' actions and make Ã¡ them obey me, and this very often gives me  a feeling of guilt.  I Ã¡ wish there could be some other way of acting."
joy,"I met a dear friend of mine after a long time.  I expressed my feelings Ã¡ in our own usual way, by mutual scolding and abusing (with Ã¡ complete understanding) and by touching, patting and taking the Ã¡ hand of the other person, etc..."
fear,"I felt fear of the purest kind after a car accident.  The Ã¡ incident and images of horror kept coming back to my mind.  I Ã¡ wondered what could have happened to my sister, my friend and me, Ã¡ though nothing very serious actually happened."
anger,"Two boys whom I know were telling me, in an indecent manner, how Ã¡ they had teased a young and shy girl I know.  They had despised Ã¡ her conviction, scorned and touched her.  I got very angry and Ã¡ did not try to conceal it and gave it back to them."
sadness,"My sweetheart left me, or rather we decided to break it off by Ã¡ mutual consent.  The consequences were - unrestrained weeping, Ã¡ feelings of loneliness, hopelessness and disconsolation.  I felt Ã¡ that I should find a friend, to talk to joyfully and to forget."
disgust,"Out of sheer curiosity, I went to see a pornographic movie in Ã¡ Copenhagen.  The room was full of men, who panted and Ã¡ masturbated.  Very disgusting."
shame,"After having quarelled unnecessarily and without any reason, and Ã¡ having been stupidly cross in every way."
shame,[ Do not know.]
guilt,Forced to fill in a questionnaire.
joy,When I won a tennis match.
fear,When my dog ran out on thin ice last spring.
anger,When my tennis match was interrupted because a kid cycled right Ã¡ into the court.
sadness,[ No response.]
disgust,[ No response.]
shame,[ No response.]
guilt,[ No response.]
joy,Celebrations on the graduation day with the orchestra playing in Ã¡ the garden ( I am a part of this orchestra).
fear,Risk of being involved in a fight after a party.
sadness,After an exam which I failed.
disgust,[ Normally I do not feel disgusted.]
shame,"When I overtook a car on the mainroad, misjudging the distance of Ã¡ an oncoming car and this resulted in tooting and flashing from Ã¡ the other driver (we could have collided), and I had an Ã¡ acquaintance in the car with me."
guilt,"I saw a neighbour, from the same appartment block as me, lying    Ã¡ on the road.  He could have been injured or ill.  I kept 20 Ã¡ metres away and did not go to help him."
joy,When I met an old schhol friend (school love) who works in Ã¡ Sk+vde.
fear,"When I was cycling to school, I nearly got knocked down by a car Ã¡ which (overtook me too closely) did not give me any swerving space."
anger,"When I was deputy manager during the Summer, certain deputies Ã¡ took liberties, more than what was normal."
sadness,"When I realized that my girlfriend, whom I like, and I were going Ã¡ to separate."
disgust,Dog dirt which thaws in the spring.
shame,When I forgot my mother's birthday.
guilt,[ Can not think of anything just now.]
joy,Passed the last exam.
fear,Was nearly knocked down by a car.
anger,I reached the bus stop and realized that I had forgotten my bus Ã¡ pass.
sadness,My current work load is too much.  The feeling comes back from Ã¡ time to time.
disgust,[ Can not think of any situation.]
shame,[ No response.]
guilt,[ No response.]
joy,When my one year old son gives me a spontaneous kiss.
fear,When someone close to me is travelling by car and is delayed.
anger,When someone does something wrong which affects me negatively.
sadness,When I think about my parents getting old.
disgust,[ Can not remember.]
shame,[ No response.]
guilt,"I do not have the time for other people's problems.  My Ã¡ mother-in-law is sometimes depressed and I do not have the time, Ã¡ the desire or the strength to help."
fear,I was driving and a deer suddenly appeared in front of the Ã¡ car when there was a lot of traffic behind me.
anger,I saw a report on T.V news on apartheid in South Africa. 
sadness,[ No response.]
disgust,[ No response.]
shame,[ No response.]
guilt,[ No response.]
joy,When my girlfriend became pregnant.
fear,When I nearly collided with another car.
anger,The time when someone let the air out of the tyres of my cycle.
sadness,When I read a lot and did not remember anything.
disgust,[ No response.]
shame,[ No response.]
guilt,The time that I had to put my dog to sleep.
joy,[ No response.]
fear,[ No response.]
anger,[ No response.]
sadness,Long illness.
joy,When I passed an exam.
fear,"When I was travelling by tram, I tripped and fell against the Ã¡ door.  I thought that I was going to fall out."
anger,When I missed the tram after having run for it.
sadness,The inability to read a book at college.
disgust,If a guy one is not interested in makes advances.
shame,I drink wine too often.
guilt,I do not study enough as I do not understand it properly.
joy,I worked at a lawyer's office during Summer and I got a very Ã¡ good reference from him.
fear,I had been watching a triller a dark night in the country and I Ã¡ had to go the outside toilet on my own. 
anger,"When I am accused of something I have not done, I get unbelievably Ã¡ angry."
sadness,"When I began to read a thick book, which I had a limited time to Ã¡ read.  Also when I have a lot of work to do and I cannot keep up."
disgust,Someone vomited on the street.
shame,"I can not think of any incident when I have felt very ashamed.  Ã¡ There are small incidents that I am ashamed of, for instance, Ã¡ not sending money to the children in Ethiopia."
guilt,I had lunch with my ex-boyfriend and did not mention it to my Ã¡ fiancee.  I felt guilty despite the fact that I felt nothing for Ã¡ my ex-boyfriend.
joy,When I was finally qualified for my profession.
fear,Someone attacked me with a knife.
anger,Someone drove into my car and then denied that it had happened.
sadness,When I was told that my friend's wife had cancer.
disgust,When I saw a dog which had been knocked down by a car.
shame,When I boxed my child's ears.
guilt,When I was fined for speeding.
joy,I stopped working (had a boring job).
fear,"I was going home by car late one night when it was cold, dark and Ã¡ windy.  I became rather panicky on the way to my house."
anger,Quarrel in the family.
sadness,When I am alone in a room with no contact with anyone - Ã¡ loneliness drains me.
disgust,When I was on holiday someone vomited in front of me.
shame,Emptied a bucket of water in a hospital.
guilt,When I feigned sick leave from work.
joy,When I get a hug from someone I love.
fear,I was driving very fast on a small road and I met an oncoming car Ã¡ in a right handed bend.  The other driver was on his own side of Ã¡ the road and I had to skid out of it to avoid a collision.  It Ã¡ was dark.
anger,My car had been towed away by the traffic police because it had Ã¡ been wrongly parked.  However the sign had been put up only after Ã¡ I had already parked.
sadness,After an operation I had to stay in bed for a long time.
disgust,I was forced to stay in the canteen and eat the food that I had Ã¡ not asked for but got it anyway.
shame,When I did not buy what I had promised to.
guilt,By mistake I took a book from the library which was not supposed Ã¡ to be loaned out.
joy,When I won an unexpected sum of money.
fear,My 2 year old daughter disappeared in a moment of inattention; I Ã¡ was responsible for her.
anger,A colleague asked me for some advice and as he did not have Ã¡ enough confidence in me he asked a third person.
sadness,"I wanted to be pregnant and did not succeed, so I was depressed    Ã¡ at every menstruation."
disgust,"In a warm bus full of people, someone vomited and the whole bus Ã¡ stank."
shame,"I complained about a colleague's behaviour as she goes back on Ã¡ her word, is often absent and is irresponsible.  I found out that Ã¡ she was an alcoholic and was trying to fight againt her Ã¡ addiction."
guilt,I spoke to my mother on the phone.  She had skin cancer and was Ã¡ waiting to be operated.  I forgot to ask her the date of the Ã¡ operation and just before finishing our conversation she gave me Ã¡ the date in passing. 
joy,When I was at a party I met an old friend from an adult Ã¡ education course.  We had not met for 2 years but had both thought Ã¡ a lot about each other.  A wonderful experience.Ã¡ 
fear,"When I was cycling through the park late one night, two people Ã¡ jumped out of the woods and tried to stop me.  There were Ã¡ shouting something at the same time."
anger,When close relatives tried to dissuade me from studying Ã¡ Psychology because of its low status.
sadness,I had a long discussion on politics with an acquaintance.  He Ã¡ was more knowledgeable than me and I failed to explain my point Ã¡ of view and was misunderstood so I felt depressed and left.
disgust,When I read a newspaper article on a young girl who had been Ã¡ raped and assaulted one night by several men when she was unconscious.
shame,My mother revealed personal details about me and the Ã¡ negative aspects of my character to other people when I was Ã¡ present but unable to defend myself.
guilt,I was unfaithful to my partner once when he was working abroad Ã¡ for a long period.
joy,When I recently got an appartment in central Gottenburg.
fear,When I saw a large spider crawling up the wall.
anger,My employer took too many aspirins for a bad back and also drank Ã¡ an enormous amount of spirit.  This was dangerous  and he did Ã¡ not understand that he had done anything wrong.
sadness,"When I left New York, and all my family and my friends behind me."
disgust,When I slept with a guy because my best friend wanted me to.  Ã¡ He had never had intercourse with anyone and had a terrible Ã¡ complex about it.
shame,When I dated a close girlfriend's boyfriend a few times. He told Ã¡ me that it was over between them and I accepted it.  When she Ã¡ found out she finished our friendship.
guilt,"When I broke off with my boyfriend after three years.  It was Ã¡ quite unexpected for him and there was no particular reason for Ã¡ the break up, such as someone else."
joy,When my son returned from mountaineering - healthy in body and Ã¡ soul.
fear,When one meets new people with whom one is forced to collaborate Ã¡ with.
anger,The sports fishermen who catch gulls instead of fish with their hooks. Ã¡   It is often a mistake but it makes me angry.
sadness,I feel sad about an event I can not influence.
disgust,"When a member of the family complains about the food that is Ã¡ served, it disgusts me."
shame,[ Cannot recall any incident when I felt shame.]
guilt,I have chosen to put my son in a private school were the Ã¡ examination marks are low.  Every time that he gives me his term Ã¡ results I am left with a sense of guilt.
joy,When I was informed that I had been accepted as a student of Ã¡ Psychology.
fear,When I was in a little fishing boat and we ran into hard weather Ã¡ in the open sea.
anger,When I found out that the guy I was dating at a particular time Ã¡ had a steady relationship going on with someone else for a long Ã¡ time.
sadness,I felt sad and depressed when I heard that our cat had died.
disgust,"When I was working as a nurse in a mental hospital, a patient ate Ã¡ up the contents of another patient's spitoon."
shame,"At primary school, when I vomited in front of others in the middle  Ã¡ of a lesson."
guilt,I arrived an hour late for an important meeting ( I had Ã¡ misunderstood the time).
joy,When I was acceptted as a student of psychology.
fear,When my son has a pain in his leg (for no apparent reason).  
anger,"When, after a week at school, a teacher sent a note home saying Ã¡ that my son was inattentive and unable to do his lessons."
sadness,When I thought that it was going to be impossible for me to start Ã¡ studying (due to wrong information from the student advisor).
disgust,"At a certain person's lack of cleanliness, at home and Ã¡ personally."
shame,"When I made the same mistake that I had accused someone else of, and Ã¡ this was obvious to a third pereson."
guilt,When I lost something that was valuable to my sister.
joy,When my son was born.
fear,When I nearly drowned in icy water wearing ice skates.  It was Ã¡ difficult to get out.
anger,When I was pointed out as a problem child in primary school and Ã¡ my mother took the teacher's point of view.
sadness,When I was accused of neglecting work for the wrong reasons.
disgust,"My parents attitude towards each other when they should become Ã¡ reconciled, despite my father's long-time addiction."
shame,When I was caught stealing money from my father.
guilt,I stole a coconut cake from a reception table and when I put Ã¡ in my mouth I realized that the host was watching me.
fear,When I was reprimanded by the manager of the hotel where I Ã¡ worked during Autumn 1984.
anger,When my parents drove me to a nearby place and went home Ã¡ immediately instead of waiting a few hours.  They could have Ã¡ easily waited.
sadness,When my ex-girlfriend and I discovered that there was a certain risk Ã¡ of her being pregnant.
disgust,When I was about to clean the draining board and saw it looked Ã¡ underneath the sink (I live in a students hostel).
shame,When my mother caught me masturbating.
